DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;3938;AGUA COCO DUCOCO TP 1L;Ativo;12;12;48;0;0;8;12
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;954;AGUA COCO KERO COCO TP 1L;Ativo;12;12;26;0;13;10;22
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;12273;AGUA MIN AGUA DA PEDRA LT 350ML BERGA CAPIM LIM;Ativo;12;12;24;0;0;12;24
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;12274;AGUA MIN AGUA DA PEDRA LT 350ML BLUEBER LIM;Ativo;12;12;11;12;0;12;24
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;12275;AGUA MIN AGUA DA PEDRA LT 350ML PESSEGO;Ativo;12;12;22;0;2;12;24
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;Ativo;6;6;25;18;11;30;42
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;50;AGUA MIN AGUA DA PEDRA PET 5L S GAS;Ativo;4;4;0;16;0;12;16
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;48;AGUA MIN FLORESTA 500ML C GAS;Ativo;12;12;822;2052;2399;1560;2220
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;49;AGUA MIN FLORESTA 500ML S GAS;Ativo;12;12;1201;0;2953;1368;1944
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;52;AGUA MIN FLORESTA 5L S GAS;Ativo;4;4;10;4;23;12;16
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;53;AGUA MIN SARANDI 5L S GAS;Ativo;4;4;-21;12;55;8;12
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;74;AGUA MIN SARANDI COPO 200ML S GAS;Ativo;48;48;100;0;3;36;48
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;3945;AGUA MIN VALLE VITA 500ML S GAS;Ativo;12;12;0;0;0;0;0
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;35;AGUA MINER AGUA DA PEDRA 500ML S GAS;Ativo;12;12;33;0;14;12;24
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;36;AGUA MINERAL CRYSTAL C G 500ML;Ativo;12;12;118;60;124;96;132
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;43;AGUA MINERAL CRYSTAL S G 500ML;Ativo;12;12;175;0;140;120;156
BEBIDAS;NICOLAS AUGUSTO P. BORGES;1;51;AGUA MINERAL CRYSTAL S G 5L S GAS;Ativo;2;2;25;0;5;10;16
